Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,Fundulus heteroclitus,"Buchsbaum, RN; Catena, J; Hutchins, E; James-Pirri, MJ","Changes in salt marsh vegetation, Phragmites australis, and nekton in response to increased tidal flushing in a new England salt marsh",WETLANDS,,,26,2,,,544,557,,10.1672/0277-5212(2006)26[544:CISMVP]2.0.CO;2,,,6/6/14,2006,,,,,,,,,16,0,15,0,16,0277-5212,,WOS:000238701700024,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Gratton, C; Denno, RF",Arthropod food web restoration following removal of an invasive wetland plant,ECOLOGICAL APPLICATIONS,,,16,2,,,622,631,,10.1890/1051-0761(2006)016[0622:AFWRFR]2.0.CO;2,,,4/6/14,2006,,,,,,,,,31,1,31,0,33,1051-0761,,WOS:000237052200016,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,7,Fundulus heteroclitus,"Fell, Paul E.; Warren, R. Scott; Curtis, Annie E.; Steiner, Erin M.",Short-term effects on macroinvertebrates and fishes of herbiciding and mowing Phragmites australis-dominated tidal marsh,NORTHEASTERN NATURALIST,,,13,2,,,191,212,,10.1656/1092-6194(2006)13[191:SEOMAF]2.0.CO;2,,,2006,2006,,,,,,,,,2,0,1,0,2,1092-6194,,WOS:000239067200004,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,8,Fundulus heteroclitus,"Weis, JS","Diet and food web support of the white perch, Morone americana, in the hackensack meadowlands of New Jersey",ENVIRONMENTAL BIOLOGY OF FISHES,,,74,1,,,109,113,,10.1007/s10641-005-6466-0,,,9/5/14,2005,,,,,,,,,9,0,9,0,9,0378-1909,,WOS:000232620300012,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Gratton, C; Denno, RF",Restoration of arthropod assemblages in a Spartina salt marsh following removal of the invasive plant Phragmites australis,RESTORATION ECOLOGY,,,13,2,,,358,372,,10.1111/j.1526-100X.2005.00045.x,,,6/5/14,2005,,,,,,,,,59,1,61,0,66,1061-2971,,WOS:000229180600016,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,9,Fundulus heteroclitus,"Perez, MH; Wallace, WG","Differences in prey capture in grass shrimp, Palaemonetes pugio, collected along an environmental impact gradient",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,,,46,1,,,81,89,,,,,1/4/14,2004,,,,,,,,,17,0,16,0,18,0090-4341,,WOS:000187774600010,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Potthoff, MT; Allen, DM","Site fidelity, home range, and tidal migrations of juvenile pinfish, Lagodon rhomboides, in salt marsh creeks",ENVIRONMENTAL BIOLOGY OF FISHES,,,67,3,,,231,240,,10.1023/A:1025874712710,,,7/3/14,2003,,,,,,,,,18,0,18,1,18,0378-1909,,WOS:000185463400002,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Able, KW; Hagan, SM; Brown, SA",Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal,ESTUARIES,,,26,2B,,,484,494,,10.1007/BF02823725,,,4/3/14,2003,,,,,,,,,50,1,42,0,52,0160-8347,,WOS:000184052700011,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Currin, CA; Wainright, SC; Able, KW; Weinstein, MP; Fuller, CM","Determination of food web support and trophic position of the mummichog, Fundulus heteroclitus, in New Jersey smooth cordgrass (Spartina alterniflora), common reed (Phragmites australis), and restored salt marshes",ESTUARIES,,,26,2B,,,495,510,,10.1007/BF02823726,,,4/3/14,2003,,,,,,,,,41,4,38,0,44,0160-8347,,WOS:000184052700012,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Raichel, DL; Able, KW; Hartman, JM","The influence of Phragmites (common reed) on the distribution, abundance, and potential prey of a resident marsh fish in the Hackensack Meadowlands, New Jersey",ESTUARIES,,,26,2B,,,511,521,,10.1007/BF02823727,,,4/3/14,2003,,,,,,,,,26,0,24,0,28,0160-8347,,WOS:000184052700013,,,,,,,,,,,,,,,,,,,,,,,,,,
