Study ID,Focal node,Focal node mean body size,Focal node mean body size SD,Focal node minimum size,Focal node maximum size,Body size type,Body size units,Focal node stage,Interaction,Interaction habitat type,Target node,Target node mean body size,Target node minimum body size,Target node maximum body size,Target node body size units,Target node body part,Target node stage,Study type,Observation type,Lat,Long,Location,Sample size (for specific observation set),Reference,Recorder
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Scophthalmus aquosus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Scophthalmus aquosus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Hyporhamphus unifasciatus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Hyporhamphus unifasciatus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Lucania parva,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Lucania parva,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Gasterosteus aculeatus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Gasterosteus aculeatus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Apeltes quadracus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Apeltes quadracus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pungitius pungitius,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pungitius pungitius,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Harpacticoida,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Amphipoda,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Bacillariophyta,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,detritus,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Actinopterygii,.,,,.,,eggs,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Annelida,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Isopoda,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,juvenile,predation,embayment,Ostracoda,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,adult,predation,embayment,Palaemonetes pugio,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
